Entry ID;Experimental Method;Number of Water Molecules per Deposited Model;Resolution (Å);
10MH;X-RAY DIFFRACTION;129;2,55;
173D;X-RAY DIFFRACTION;96;3;
185D;SOLUTION NMR;;;
193D;SOLUTION NMR;;;
1A02;X-RAY DIFFRACTION;88;2,7;
1A0A;X-RAY DIFFRACTION;80;2,8;
1A1F;X-RAY DIFFRACTION;88;2,1;
1A1G;X-RAY DIFFRACTION;155;1,9;
1A1H;X-RAY DIFFRACTION;149;1,6;
1A1I;X-RAY DIFFRACTION;255;1,6;
1A1J;X-RAY DIFFRACTION;153;2;
1A1K;X-RAY DIFFRACTION;121;1,9;
1A1L;X-RAY DIFFRACTION;101;2,3;
1A1V;X-RAY DIFFRACTION;159;2,2;
1A31;X-RAY DIFFRACTION;409;2,1;
1A35;X-RAY DIFFRACTION;273;2,5;
1A36;X-RAY DIFFRACTION;57;2,8;
1A3Q;X-RAY DIFFRACTION;785;2,1;
1A66;SOLUTION NMR;;;
1A6B;SOLUTION NMR;;;
1A6Y;X-RAY DIFFRACTION;234;2,3;
1A73;X-RAY DIFFRACTION;391;1,8;
1A74;X-RAY DIFFRACTION;226;2,2;
1AAY;X-RAY DIFFRACTION;148;1,6;
1AHD;SOLUTION NMR;;;
1AIS;X-RAY DIFFRACTION;288;2,1;
1AKH;X-RAY DIFFRACTION;51;2,5;
1AM9;X-RAY DIFFRACTION;299;2,3;
1AN2;X-RAY DIFFRACTION;;2,9;
1AN4;X-RAY DIFFRACTION;;2,9;
1AOI;X-RAY DIFFRACTION;13;2,8;
1APL;X-RAY DIFFRACTION;;2,7;
1AU7;X-RAY DIFFRACTION;176;2,3;
1AWC;X-RAY DIFFRACTION;46;2,15;
1AZ0;X-RAY DIFFRACTION;229;2;
1AZP;X-RAY DIFFRACTION;132;1,6;
1AZQ;X-RAY DIFFRACTION;68;1,94;
1B01;X-RAY DIFFRACTION;13;2,56;
1B3T;X-RAY DIFFRACTION;182;2,2;
1B69;SOLUTION NMR;;;
1B72;X-RAY DIFFRACTION;61;2,35;
1B8I;X-RAY DIFFRACTION;110;2,4;
1B94;X-RAY DIFFRACTION;350;1,9;
1B95;X-RAY DIFFRACTION;357;2,05;
1B96;X-RAY DIFFRACTION;279;2,3;
1B97;X-RAY DIFFRACTION;358;1,9;
1BBX;SOLUTION NMR;;;
1BC7;X-RAY DIFFRACTION;137;2,01;
1BC8;X-RAY DIFFRACTION;160;1,93;
1BDH;X-RAY DIFFRACTION;53;2,7;
1BDI;X-RAY DIFFRACTION;2;3;
1BDT;X-RAY DIFFRACTION;83;2,5;
1BDV;X-RAY DIFFRACTION;34;2,8;
1BDX;X-RAY DIFFRACTION;;6;
1BF4;X-RAY DIFFRACTION;114;1,6;
1BF5;X-RAY DIFFRACTION;;2,9;
1BG1;X-RAY DIFFRACTION;154;2,25;
1BGB;X-RAY DIFFRACTION;236;2;
1BHM;X-RAY DIFFRACTION;215;2,2;
1BJ6;SOLUTION NMR;;;
1BL0;X-RAY DIFFRACTION;144;2,3;
1BNK;X-RAY DIFFRACTION;41;2,7;
1BNZ;X-RAY DIFFRACTION;99;2;
1BP7;X-RAY DIFFRACTION;7;3;
1BPX;X-RAY DIFFRACTION;81;2,4;
1BPY;X-RAY DIFFRACTION;321;2,2;
1BPZ;X-RAY DIFFRACTION;27;2,6;
1BRN;X-RAY DIFFRACTION;229;1,76;
1BSS;X-RAY DIFFRACTION;166;2,15;
1BSU;X-RAY DIFFRACTION;218;2;
1BUA;X-RAY DIFFRACTION;236;2,15;
1BVO;X-RAY DIFFRACTION;36;2,7;
1BY4;X-RAY DIFFRACTION;230;2,1;
1C0W;X-RAY DIFFRACTION;;3,2;
1C7U;SOLUTION NMR;;;
1C7Y;X-RAY DIFFRACTION;;3,1;
1C8C;X-RAY DIFFRACTION;157;1,45;
1C9B;X-RAY DIFFRACTION;329;2,65;
1CA5;X-RAY DIFFRACTION;102;2,2;
1CA6;X-RAY DIFFRACTION;72;2,2;
1CBV;X-RAY DIFFRACTION;;2,66;
1CDW;X-RAY DIFFRACTION;280;1,9;
1CEZ;X-RAY DIFFRACTION;471;2,4;
1CF7;X-RAY DIFFRACTION;75;2,6;
1CGP;X-RAY DIFFRACTION;;3;
1CIT;X-RAY DIFFRACTION;38;2,7;
1CJG;SOLUTION NMR;;;
1CKQ;X-RAY DIFFRACTION;151;1,85;
1CKT;X-RAY DIFFRACTION;74;2,5;
1CL8;X-RAY DIFFRACTION;158;1,8;
1CLQ;X-RAY DIFFRACTION;221;2,7;
1CMA;X-RAY DIFFRACTION;36;2,8;
1CO0;SOLUTION NMR;;;
1CQT;X-RAY DIFFRACTION;;3,2;
1CRX;X-RAY DIFFRACTION;488;2,4;
1CW0;X-RAY DIFFRACTION;206;2,3;
1CYQ;X-RAY DIFFRACTION;340;1,93;
1CZ0;X-RAY DIFFRACTION;376;2,1;
1D02;X-RAY DIFFRACTION;646;1,7;
1D0E;X-RAY DIFFRACTION;;3;
1D1U;X-RAY DIFFRACTION;175;2,3;
1D2I;X-RAY DIFFRACTION;543;1,7;
1D3U;X-RAY DIFFRACTION;180;2,4;
1D5Y;X-RAY DIFFRACTION;;2,7;
1D66;X-RAY DIFFRACTION;51;2,7;
1D8Y;X-RAY DIFFRACTION;335;2,08;
1DC1;X-RAY DIFFRACTION;474;1,7;
1DCT;X-RAY DIFFRACTION;;2,8;
1DDN;X-RAY DIFFRACTION;4;3;
1DE8;X-RAY DIFFRACTION;44;2,95;
1DE9;X-RAY DIFFRACTION;;3;
1DEW;X-RAY DIFFRACTION;444;2,65;
1DFM;X-RAY DIFFRACTION;608;1,5;
1DGC;X-RAY DIFFRACTION;;3;
1DH3;X-RAY DIFFRACTION;17;3;
1DIZ;X-RAY DIFFRACTION;207;2,5;
1DMU;X-RAY DIFFRACTION;255;2,2;
1DNK;X-RAY DIFFRACTION;77;2,3;
1DP7;X-RAY DIFFRACTION;124;1,5;
1DRG;X-RAY DIFFRACTION;114;2,55;
1DSC;SOLUTION NMR;;;
1DSD;SOLUTION NMR;;;
1DSZ;X-RAY DIFFRACTION;338;1,7;
1DU0;X-RAY DIFFRACTION;103;2;
